OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
200,General Knowledge,Easy,Multiple Choice,How many letters are in the English alphabet?,26,30,17,5
201,Geography,Hard,Multiple Choice,What is the largest city and commercial capital of Sri Lanka?,Colombo,Moratuwa,Negombo,Kandy
202,Entertainment: Video Games,Medium,Multiple Choice,"Which one of these ""Mortal Kombat"" characters has been playable in every single mainline game?",Sub-Zero,Raiden,Scorpion,Liu Kang
203,Science & Nature,Easy,Multiple Choice,What is the atomic mass of Carbon?,12,14,16,10
204,Entertainment: Video Games,Medium,Multiple Choice,Just Cause 2 was mainly set in what fictional Southeast Asian island country?,Panau,Davao,Macau,Palau
205,Entertainment: Music,Medium,Multiple Choice,Which one of these Rammstein songs has two official music videos?,Du Riechst So Gut,Du Hast,Benzin,Mein Teil
206,Entertainment: Television,Medium,Multiple Choice,"The fictional movie 'Rochelle, Rochelle' features in which sitcom?",Seinfeld,Frasier,Cheers,Friends
207,Entertainment: Video Games,Hard,Multiple Choice,"In the ""Pikmin"" games, which of the following pikmin colors lacks it's own ""Onion"" nest?",Purple,Winged,Blue,Rock
208,Entertainment: Video Games,Easy,Multiple Choice,Who is the main protagonist of Dead Space?,Isaac Clarke,Commander Shepard,Gordon Freeman,Master Chief
209,Entertainment: Video Games,Easy,True / False,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",False,True,,
210,Science: Computers,Medium,Multiple Choice,Unix Time is defined as the number of seconds that have elapsed since when?,"Midnight, January 1, 1970","Midnight, July 4, 1976",Midnight on the creator of Unix's birthday,"Midnight, July 4, 1980"
211,Entertainment: Video Games,Medium,Multiple Choice,"If you play the Super Mario RPG and nap in a rented hotel room, you will wake up next to what familiar looking character?",Link,Wario,Q*bert,Solid Snake
212,Entertainment: Video Games,Medium,Multiple Choice,Which of these is NOT a name of a playable character in Apex Legends?,Viper,Revenant,Crypto,Wattson
213,Entertainment: Film,Easy,Multiple Choice,What is the name of the fictional retro-mod band starring Austin Powers as the lead vocalist?,Ming Tea,Cough Fi,Spear Mint,Mister E
214,Geography,Medium,Multiple Choice,Which European city has the highest mileage of canals in the world?,Birmingham,Venice,Amsterdam,Berlin
215,Sports,Medium,Multiple Choice,Who won the 2011 Stanley Cup?,Boston Bruins,Montreal Canadiens,New York Rangers,Toronto Maple Leafs
216,Entertainment: Video Games,Medium,Multiple Choice,"In ""Fallout 4"", what is the name of the dog you find at Red Rocket truck stop?",Dogmeat,Sparky,Quazar,Chop
217,Entertainment: Video Games,Medium,True / False,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,True,False,,
218,Entertainment: Video Games,Medium,Multiple Choice,"In Forza Motorsport 6, which of these track-exclusive cars was NOT featured in the game, either originally with the game or added as DLC?",Aston Martin Vulcan,Ferrari FXX-K,McLaren P1 GTR,Lotus E23
219,General Knowledge,Easy,Multiple Choice,Which canal connects the Mediterranean Sea with the Red Sea?,Suez Canal,Panama Canal,Sinai Canal,Qaraqum Canal
220,Science: Computers,Easy,True / False,RAM stands for Random Access Memory.,True,False,,
221,History,Medium,Multiple Choice,What was the name of the national hero of the Philippines who inspired and lead the Philippine Revolution against colonial Spain?,José Rizal,Simón Bolívar,Benito Juárez,José de San Martín
222,Entertainment: Video Games,Medium,Multiple Choice,Phil Fish was the designer of which game?,Fez,Super Meat Boy,Hotline Miami,FTL
223,Entertainment: Video Games,Hard,Multiple Choice,Why was the character Trevor Philips discharged from the Air Force?,Mental Health Issues,Injuries,Disease,Danger to Others
224,Entertainment: Board Games,Medium,Multiple Choice,"In the Board Game, Settlers of Catan, a die roll of what number causes the Robber to attack? ",7,3,10,1
225,Politics,Medium,True / False,"Jeb Bush was elected as Governor of Florida in 2002, starting his political career.",False,True,,
226,Entertainment: Music,Medium,Multiple Choice,Who was the youngest member of The Beatles?,George Harrison,Paul McCartney,John Lennon,Ringo Starr
227,General Knowledge,Hard,True / False,Is Luxembourgish a real language?,True,False,,
228,General Knowledge,Easy,True / False,Scotland voted to become an independent country during the referendum from September 2014.,False,True,,
229,Mythology,Hard,Multiple Choice,"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",Aristaeus,Autonoe,Carme,Cephisso
230,Entertainment: Film,Easy,Multiple Choice,Who directed the Kill Bill movies?,Quentin Tarantino,Arnold Schwarzenegger,David Lean,Stanley Kubrick
231,Science & Nature,Hard,Multiple Choice,Which of the following is a major muscle of the back?,Trapezius,Trapezium,Trapezoid,Triquetrum
232,Art,Medium,Multiple Choice,Which artist's style was to use small different colored dots to create a picture?,Georges Seurat,Paul Cézanne,Vincent Van Gogh,Henri Rousseau
233,Entertainment: Japanese Anime & Manga,Easy,True / False,"Studio Ghibli is a Japanese animation studio responsible for the films ""Wolf Children"" and ""The Boy and the Beast"".",False,True,,
234,Science & Nature,Hard,Multiple Choice,If you planted the seeds of Quercus robur what would grow?,Trees,Flowers,Vegtables,Grains
235,General Knowledge,Medium,Multiple Choice,What is the defining characteristic of someone who is described as hirsute?,Hairy,Rude,Funny,Tall
236,Geography,Easy,True / False,Portugal's modern territory was once a part of the Roman Empire.,True,False,,
237,Entertainment: Video Games,Medium,Multiple Choice,Which one of these was not a member of the Fiendish Five in the game Sly Cooper and the Thievius Raccoonus?,Dimitri Lousteau,Mz. Ruby,Muggshot,Clockwerk
238,Entertainment: Video Games,Medium,Multiple Choice,"In Minecraft: Java Edition, which of the following feature/block was added to Survival mode in Beta 1.3?",Beds,Hunger,The Nether,Grass
239,Animals,Easy,True / False,Cats have whiskers under their legs.,True,False,,
240,Science: Computers,Easy,Multiple Choice,Which computer language would you associate Django framework with?,Python,C#,C++,Java
241,General Knowledge,Hard,Multiple Choice,"If you planted the seeds of Quercus robur, what would grow?",Trees,Grains,Vegetables,Flowers
242,Entertainment: Video Games,Easy,Multiple Choice,"Which of these levels does NOT appear in the console/PC versions of the game ""Sonic Generations""?",Mushroom Hill,City Escape,Planet Wisp,Sky Sanctuary
243,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"In ""Jewelpet Sunshine"", what is the song that plays when Kanon and her friends bust out of prison?",I Don't Want to Miss a Thing,Eye Of The Tiger,Born to be Wild,Ruby Ring
244,Geography,Medium,True / False,"Route 66 in the United States spans the entire mainland of America, from California to New York.",False,True,,
245,Entertainment: Cartoon & Animations,Medium,Multiple Choice,"Bugs Bunny, Tony the Tiger, and other bipedal animal characters are known as what type of character?",Anthropomorphic,Anthropolegic ,Anthrologic,Anthrogenetic
246,Entertainment: Film,Medium,True / False,The color of the pills in the Matrix were Blue and Yellow.,False,True,,
247,Entertainment: Japanese Anime & Manga,Hard,Multiple Choice,"Which animation studio animated ""Hidamari Sketch""?",Shaft,Trigger,Kyoto Animation,Production I.G
248,General Knowledge,Medium,Multiple Choice,The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,Neoclassical,Baroque,Gothic Revival
249,Science & Nature,Medium,Multiple Choice,The medial meniscus forms which part of what joint in the human body?,Knee,Elbow,Ankle,Shoulder
250,Science & Nature,Medium,Multiple Choice,"At what depth should you make a decompression stop, or safety stop, on a typical scuba dive?",15 Feet / 5 Meters,25 Feet / 7.5 Meters,50 Feet / 15 Meters,75 Feet / 23 Meters
251,Entertainment: Music,Hard,Multiple Choice,"In the metal band Slipknot, there are 9 members, which member labelled themselves number 6? ",Shawn Crahan (Clown),Sid Wilson,Cory Taylor,Mick Thomson
252,Entertainment: Video Games,Medium,Multiple Choice,In what year was the first eSports competition?,1972,1989,1990,2000
253,Entertainment: Board Games,Easy,Multiple Choice,Carcassonne is based on which French town?,Carcassonne,Paris,Marseille,Clermont-Ferrand
254,Sports,Easy,Multiple Choice,Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Curt Flood,Roy Campanella,Satchell Paige
255,History,Hard,Multiple Choice,Who was the last emperor of Mexico?,Ferdinand Maximilian,Andrés Manuel López Obrador,Napoleon III,Agustín de Iturbide
256,General Knowledge,Easy,True / False,Water is naturally coloured blue.,False,True,,
257,Science & Nature,Medium,Multiple Choice,What is the standard SI unit for electric current?,Ampere,Volt,Ohm,Watt
258,Entertainment: Board Games,Medium,Multiple Choice,In what year was the card game Magic: the Gathering first introduced?,1993,1987,1998,2003
259,General Knowledge,Easy,Multiple Choice,"The word ""dozen"" usually refers to a group of how many objects?",12,6,20,10
260,Politics,Medium,Multiple Choice,Who was elected leader of the UK Labour Party in September 2015?,Jeremy Corbyn,Ed Miliband,David Cameron,Theresa May
261,Geography,Easy,True / False,New Haven is the capital city of the state of Connecticut in the United States.,False,True,,
262,Entertainment: Video Games,Medium,Multiple Choice,Which of these is NOT the name of a playable map in PUBG: Battlegrounds?,Orinocco,Miramar,Sanhok,Vikendi
263,Mythology,Medium,True / False,"In Greek mythology, Hera is the goddess of harvest.",False,True,,
264,Entertainment: Video Games,Easy,Multiple Choice,"What was the first game in the ""Battlefield"" series?",Battlefield 1942,Battlefield Vietnam,Battlefield 2,Battlefield 1
265,Science & Nature,Medium,Multiple Choice,What is the unit of electrical capacitance?,Farad,Gauss,Henry,Watt
266,Science: Computers,Easy,True / False,Linux was first created as an alternative to Windows XP.,False,True,,
267,Entertainment: Video Games,Easy,Multiple Choice,"Which franchise does the creature ""Slowpoke"" originate from?",Pokemon,Dragon Ball,Sonic The Hedgehog,Yugioh
268,Entertainment: Board Games,Hard,Multiple Choice,Which Pokemon is #39 in the National Pokedex?,Jigglypuff,Pikachu,Psyduck,Fearow
269,Entertainment: Video Games,Medium,Multiple Choice,"In ""Paper Mario: The Thousand Year Door"", what is Hooktail's weakness?",The Sound of Crickets,Attacks from Koopas,"The ""Ice Storm"" Item",The Hammer
270,History,Easy,Multiple Choice,Which one of these tanks was designed and operated by the United Kingdom?,Tog II,M4 Sherman,Tiger H1,T-34
271,Geography,Hard,Multiple Choice,What is the most populous Muslim-majority nation in 2010?,Indonesia,Saudi Arabia,Iran,Sudan
272,Entertainment: Video Games,Hard,Multiple Choice,In the National Pokedex what number is Porygon-Z?,474,376,432,589
273,Entertainment: Japanese Anime & Manga,Easy,True / False,"In the ""Melancholy of Haruhi Suzumiya"" series, the narrator goes by the nickname Kyon.",True,False,,
274,Geography,Hard,Multiple Choice,Where is Timbuktu located?,"Mali, Africa","Azerbaijan, Asia","Bangladesh, Asia","Mauritania, Africa"
275,Entertainment: Video Games,Medium,Multiple Choice,Which of the following is not a playable race in the MMORPG Guild Wars 2? ,Tengu,Sylvari,Charr,Asura 
276,Entertainment: Television,Medium,Multiple Choice,"In the television show ""Lazy Town"", who is the actor of Robbie Rotten?",Stefán Stefánsson,Adam Sandler,Magnús Scheving,Stephen Carl
277,Entertainment: Video Games,Easy,Multiple Choice,"In Minecraft, which two items must be combined to craft a torch?",Stick and Coal,Stick and Fire,Wood and Coal,Wood and Fire
278,Entertainment: Television,Hard,Multiple Choice,"In ""It's Always Sunny in Philadelphia"" what was the name of Frank's wrestling persona?",The Trash Man,Bird of War,Day Man,The Maniac
279,Mythology,Medium,Multiple Choice,"In Greek Mythology, who killed Achilles?",Paris,Hector,Helen,Pericles
280,Entertainment: Television,Medium,Multiple Choice,Which of these television shows makes everyone look under their chair?,Oprah,Jimmy Fallon,Saturday Night Live,Larry Rubert
281,Entertainment: Music,Medium,Multiple Choice,Who had a 1973 hit with the song 'Hocus Pocus'?,Focus,Pilot,Rush,AC/DC
282,Entertainment: Music,Medium,Multiple Choice,What M83 was featured in Grand Theft Auto V's radio?,Midnight City,Outro,Reunion,Wait
283,Geography,Easy,True / False,The Republic of Malta is the smallest microstate worldwide.,False,True,,
284,Science & Nature,Medium,Multiple Choice,Which of these is a type of stretch/deep tendon reflex?,Ankle jerk reflex,Gag reflex,Pupillary light reflex,Scratch reflex
285,Entertainment: Video Games,Hard,Multiple Choice,In the original DOOM (1993) which of the following is NOT a cheat code?,IDCLIP,IDFA,IDDQD,IDSPISPOPD
286,Entertainment: Cartoon & Animations,Easy,Multiple Choice,What is the name of the creatures that the protagonists of the webshow RWBY fight against?,Grimm,Reavers,Heartless,Dark Ones
287,Science: Computers,Easy,Multiple Choice,What is the most preferred image format used for logos in the Wikimedia database?,.svg,.png,.jpeg,.gif
288,History,Medium,Multiple Choice,"After his loss at the Battle of Waterloo, Napoleon Bonaparte was exiled to which island?",St. Helena,Elba,Corsica,Canary
289,Science: Mathematics,Medium,True / False,A 'Millinillion' is a real number.,True,False,,
290,Entertainment: Cartoon & Animations,Easy,Multiple Choice,"Which of these characters from ""SpongeBob SquarePants"" is not a squid?",Gary,Orvillie,Squidward,Squidette
291,Science & Nature,Hard,Multiple Choice,Which of these is used to show that Earth spins on an axis? ,Foucault Pendulum ,Polaris,Sundial,Tectonic Plates 
292,Entertainment: Film,Easy,Multiple Choice,"The 2002 film ""28 Days Later"" is mainly set in which European country?",United Kingdom,France,Italy,Germany
293,Entertainment: Video Games,Medium,Multiple Choice,"In which game does a character say, ""Sometimes, I dream about cheese""?",Half Life 2,Team Fortress 2,Dark Souls,Serious Sam: The Second Encounter
